Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
    1  120 0xffffff7f80c58000 0xc340     0xc340     com.apple.kpi.bsd (19.2.0) A579E712-CAA7-4281-A98C-5988627D1479
    2   20 0xffffff7f80c99000 0x5d00     0x5d00     com.apple.kpi.dsep (19.2.0) BB544C3D-31D4-4CEC-81D6-065505E15F13
    3  152 0xffffff7f80c11000 0x257a0    0x257a0    com.apple.kpi.iokit (19.2.0) BC6CBB64-3116-4F43-9CF6-0F9BDEA56E33
    4    0 0xffffff7f83268000 0x57e0     0x57e0     com.apple.kpi.kasan (19.2.0) 856A6034-DBE2-47AA-9F2F-BDDF9498B1C9
    5  158 0xffffff7f80c00000 0x100b0    0x100b0    com.apple.kpi.libkern (19.2.0) 8ECFFC02-538B-4917-8EC3-650101611DAA
    6  135 0xffffff7f80c37000 0x62e0     0x62e0     com.apple.kpi.mach (19.2.0) F20E1546-3ACD-4CB4-800E-388BBD39D0AE
    7   84 0xffffff7f80c3e000 0x104c0    0x104c0    com.apple.kpi.private (19.2.0) E410C723-2EAA-41EF-B6A1-BCA1D9920E4A
    8   99 0xffffff7f80c4f000 0x8200     0x8200     com.apple.kpi.unsupported (19.2.0) 26E62FAC-B3E8-4AA9-BEE4-9006954FBE52
    9    2 0xffffff7f80d5d000 0x10000    0x10000    com.apple.kec.Libm (1) D487664C-E479-3FAE-B781-5C8B60EC59A8 <5>
   10   10 0xffffff7f80f0b000 0xd9000    0xd9000    com.apple.kec.corecrypto (1.0) BDC53810-BC66-3B24-8F2B-EE3F9A7CF761 <8 7 6 5 3 1>
   11    0 0xffffff7f829f4000 0xa000     0xa000     com.apple.kec.pthread (1) 15CFFC66-7EAE-3F34-8D59-D22CB9FF657C <8 7 6 5 3 1>
   12   34 0xffffff7f81093000 0x9000     0x9000     com.apple.iokit.IOACPIFamily (1.4) 3467C105-9354-3BD2-85F3-E5AEF94BD275 <8 7 5 3>
   13   41 0xffffff7f810a5000 0x37000    0x37000    com.apple.iokit.IOPCIFamily (2.9) 1286D5E5-A6A1-3C44-A244-04C068903DB2 <8 7 6 5 3>
   14    1 0xffffff7f8109c000 0x9000     0x9000     com.apple.driver.watchdog (1) EFAA17B9-A62C-30B7-9602-0BB5282EDDD6 <8 7 6 5 3 1>
   15   12 0xffffff7f810e2000 0x1f000    0x1f000    com.apple.driver.AppleSMC (3.1.9) CA7CACA5-58A6-3E59-9F67-2422183AB544 <14 13 12 8 7 6 5 3 1>
   16    2 0xffffff7f82aad000 0x9b000    0x9b000    com.apple.driver.AppleACPIPlatform (6.1) ADDDBB5F-8BA0-3091-9525-E47B055052F6 <15 13 12 8 7 6 5 3 1>
   17    8 0xffffff7f80c9f000 0x7000     0x7000     com.apple.iokit.IOReportFamily (47) E3C37E96-3AFA-301F-B89C-719FB3D4DA53 <6 5 3>
   18   11 0xffffff7f80d6d000 0x30000    0x30000    com.apple.iokit.IONetworkingFamily (3.4) 03C05ADC-CFE0-3B32-9305-5F17640F7B06 <8 7 6 5 3 1>
   19    2 0xffffff7f80dfb000 0x3f000    0x3f000    com.apple.iokit.IOTimeSyncFamily (800.14) 6955ED18-4CBE-35C4-8CC0-1AAF5D460AF2 <18 6 5 3 1>
   20    2 0xffffff7f80fe4000 0xc000     0xc000     com.apple.kext.CoreTrust (1) 72FA703C-5A1F-3E42-8E41-BDDB87C0AEA0 <10 5>
   21    7 0xffffff7f80ff0000 0x23000    0x23000    com.apple.driver.AppleMobileFileIntegrity (1.0.5) 2FAEE793-59BC-3ADF-A5E2-3BC8760AFE0B <20 10 8 7 6 5 3 2 1>
   22    0 0xffffff7f8123f000 0x33000    0x33000    com.apple.iokit.EndpointSecurity (1) D2BE29A2-3ED2-3111-907D-D28E5675FEB5 <21 8 7 6 5 3 2 1>
   23    0 0xffffff7f826b5000 0xe000     0xe000     com.apple.iokit.CoreAnalyticsFamily (1) 4C572BEA-0FDA-37C0-856C-71BE0D0C89A5 <8 7 6 5 3 1>
   24    1 0xffffff7f81103000 0x8000     0x8000     com.apple.driver.AppleBusPowerController (1.0) 47522661-FFD4-378B-B5C1-F68D05AC6F7D <15 12 7 6 5 3>
   25    7 0xffffff7f8110b000 0xe000     0xe000     com.apple.driver.usb.AppleUSBCommon (1.0) 9A875EBB-4432-3A19-A58B-1DD5A1067EAC <6 5 3 1>
   26    2 0xffffff7f81119000 0x4000     0x4000     com.apple.driver.AppleUSBHostMergeProperties (1.2) B28E651B-348A-3884-B27A-A87B110E037C <5 3 1>
   27   18 0xffffff7f8111d000 0xf9000    0xf9000    com.apple.iokit.IOUSBHostFamily (1.2) C0C182A7-012B-3484-8AE0-5C383BD3EDB1 <26 25 24 8 7 6 5 3 1>
   28   10 0xffffff7f80c65000 0x28000    0x28000    com.apple.iokit.IOStorageFamily (2.1) D6C7A1D3-1E90-37A3-9D36-F6793A476858 <8 7 6 5 3 1>
   29    3 0xffffff7f8134f000 0x2b000    0x2b000    com.apple.iokit.IOSCSIArchitectureModelFamily (422.0.2) 415BB612-8CC4-34E0-AAFF-B069BCD3B943 <7 6 5 3 1>
